event_index,candidate_bar,quality,target_planted,resolution_delay_bars
186,52580,1,1,180
187,52860,0,0,8
188,53140,0,0,36
189,53420,0,0,180
190,53700,1,1,8
191,53980,1,0,8
192,54260,1,1,2
193,54540,1,1,180
194,54820,0,0,2
195,55100,1,0,8
196,55380,0,0,36
197,55660,0,0,2
198,55940,0,0,180
199,56220,0,0,2
200,56500,1,1,180
201,56780,0,0,2
202,57060,1,1,36
203,57340,0,0,8
204,57620,1,1,36
205,57900,1,1,36
206,58180,0,0,36
207,58460,0,0,8
208,58740,0,1,36
209,59020,0,1,2
210,59300,1,1,2
211,59580,0,0,8
212,59860,0,1,8
213,60140,1,1,8
214,60420,0,0,36
215,60700,0,0,2
216,60980,1,1,180
217,61260,0,0,36
218,61540,0,0,8
219,61820,0,0,8
220,62100,0,0,2
221,62380,0,0,180
222,62660,1,1,180
223,62940,1,1,36
224,63220,0,0,36
225,63500,0,0,36
226,63780,0,0,36
227,64060,1,1,8
228,64340,1,1,8
229,64620,0,0,180
230,64900,1,1,8
231,65180,1,1,36
232,65460,0,0,8
233,65740,1,1,180
234,66020,0,0,180
235,66300,1,0,180
236,66580,0,0,8
237,66860,0,0,180
239,67420,0,0,8
241,67980,1,1,8
242,68260,1,1,180
244,68820,1,1,36
245,69100,1,1,36
246,69380,1,0,8
250,70500,1,0,8
253,71340,1,1,8
258,72740,1,0,36
260,73300,1,1,36
261,73580,1,1,2
262,73860,1,1,180
264,74420,1,1,36
266,74980,1,0,8
267,75260,1,1,2
269,75820,1,1,2
274,77220,1,1,2
277,78060,1,1,8
278,78340,1,1,36
281,79180,1,0,8
283,79740,1,1,180
286,80580,1,1,180
289,81420,1,1,2
290,81700,1,1,2
291,81980,1,0,2
293,82540,1,1,36
294,82820,1,1,180
301,84780,1,0,180
302,85060,0,1,2
303,85340,1,1,8
304,85620,0,0,8
305,85900,1,1,36
306,86180,1,1,8
308,86740,1,1,2
309,87020,1,1,180
310,87300,0,1,36
311,87580,0,0,180
312,87860,1,0,8
313,88140,1,1,36
314,88420,0,0,36
315,88700,1,1,180
316,88980,1,1,180
317,89260,1,1,180
318,89540,0,0,180
319,89820,1,1,36
320,90100,1,0,2
321,90380,0,0,8
322,90660,0,0,8
323,90940,0,0,8
324,91220,0,0,180
325,91500,1,1,36
326,91780,0,0,180
327,92060,1,1,180
328,92340,1,1,2
329,92620,1,1,8
330,92900,0,0,36
331,93180,0,0,8
332,93460,0,1,8
333,93740,1,1,8
334,94020,1,1,36
335,94300,0,0,180
336,94580,1,1,36
337,94860,1,1,36
338,95140,1,0,36
339,95420,0,0,2
340,95700,0,0,180
341,95980,1,1,180
342,96260,1,1,8
343,96540,1,0,8
344,96820,0,0,8
345,97100,1,1,180
346,97380,1,0,180
347,97660,1,1,180
348,97940,0,0,2
349,98220,1,0,8
350,98500,1,1,36
351,98780,1,1,180
352,99060,0,1,8
353,99340,1,1,180
354,99620,0,0,36
